text,soft_skills
 Provide overall administrative support to the project's operations andtherefore form an integral member of the support staff.Logistics:,"['coordination', 'mediation', 'organization']"
" Ensure compliance with USAID and CRS rules, regulations, and standardsin all procurement and logistics operations;","['coordination', 'communication', 'mediation']"
 Maintain CRS Georgia inventory files and monitor correctness of theones with partners;,"['coordination', 'communication', 'mediation']"
 Organize general maintenance of all CRS Georgia properties;,['mediation']
" Advise office on logistics matters, and assists as necessary;",['instructing']
 Provide onsite logistical support for three large,"['service orientation', 'instructing', 'coordination']"
 Manage bidding processes according to CRS procedures;,"['mediation', 'communication', 'instructing']"
 Ensure proper and timely procurement for all equipment and materialsbought for CRS Georgia;,"['instructing', 'coordination', 'service orientation']"
 Maintain records of purchased supplies and tracking further need toprovide timely procurement and supply;,"['instructing', 'communication', 'coordination']"
 Draft logistics/procurement related contracts and letters for Vendorsand Governmental structures when needed;,"['mediation', 'coordination', 'communication']"
grantees on procurement procedures and inventory systems.Driver:,"['monitoring', 'coordination', 'service orientation']"
 Monitor compliance of driver logs with vehicle indicators;,['monitoring']
 Train drivers to keep in line with CRS policy requirements;,['service orientation']
 Provide regular checking of the CRS vehicles and in case of needorganize the timely maintenance;,"['mediation', 'coordination']"
" Perform any other related tasks as requested by the OperationsManager.Key Relationships:Internal: Operations Manager, Head of Officer, Program Managers, FinanceOfficer/Assistant and Sub","['coordination', 'mediation', 'communication']"
"Regional Finance Manager.External: CRS/Baltimore purchasing department, local partner NGOs'programming and field staff.Responsibilities include, but are not limitedto:","['coordination', 'communication', 'mediation']"
 Planning and overseeing the organization and management of theResource Centre; ,"['coordination', 'mediation', 'organization']"
 Ensuring that the maximum use is made of ICT within the ResourceCentre and maintaining an awareness of relevant information in theEducation Area; ,"['mediation', 'communication', 'coordination']"
" Exploring opportunities for advancing the position of the organizationthrough leadership and partnership, establishing and maintaining linkswith the relevant internal and external stakeholders;  ","['mediation', 'coordination', 'communication']"
